Baseline: (shortest-paths with test set without permutation)
num_nodes_min_max = (8, 17)
# 02794, T 826.7, Ltr 0.1427, Lge 0.0808, Ctr 0.9894, Str 0.8438, Cge 0.9895, Sge 0.8800
# 02864, T 846.8, Ltr 0.1579, Lge 0.0535, Ctr 0.9929, Str 0.8750, Cge 0.9927, Sge 0.9300
# 02932, T 866.8, Ltr 0.1543, Lge 0.0543, Ctr 0.9934, Str 0.9062, Cge 0.9896, Sge 0.8300
# 03002, T 886.9, Ltr 0.1674, Lge 0.0948, Ctr 0.9900, Str 0.8750, Cge 0.9848, Sge 0.8400
# 03072, T 907.1, Ltr 0.1133, Lge 0.0385, Ctr 0.9940, Str 0.9062, Cge 0.9939, Sge 0.8700
# 03140, T 927.2, Ltr 0.2122, Lge 0.0600, Ctr 0.9780, Str 0.6875, Cge 0.9871, Sge 0.8100
# 03210, T 947.4, Ltr 0.1387, Lge 0.0357, Ctr 0.9904, Str 0.9062, Cge 0.9909, Sge 0.9000
# 03279, T 967.6, Ltr 0.1529, Lge 0.0440, Ctr 0.9930, Str 0.8750, Cge 0.9897, Sge 0.8500
# 03349, T 987.8, Ltr 0.1608, Lge 0.0332, Ctr 0.9840, Str 0.8750, Cge 0.9938, Sge 0.9300
# 03419, T 1007.9, Ltr 0.1398, Lge 0.0618, Ctr 0.9953, Str 0.9062, Cge 0.9877, Sge 0.8700
# 03487, T 1028.0, Ltr 0.1482, Lge 0.0579, Ctr 0.9919, Str 0.9062, Cge 0.9869, Sge 0.8300
# 03557, T 1048.1, Ltr 0.2462, Lge 0.0291, Ctr 0.9768, Str 0.7812, Cge 0.9949, Sge 0.9200
# 03626, T 1068.2, Ltr 0.1381, Lge 0.0662, Ctr 0.9937, Str 0.8438, Cge 0.9901, Sge 0.8800
# 03694, T 1088.2, Ltr 0.1190, Lge 0.0498, Ctr 0.9994, Str 0.9688, Cge 0.9886, Sge 0.8700
# 03764, T 1108.3, Ltr 0.1363, Lge 0.0702, Ctr 0.9901, Str 0.8438, Cge 0.9896, Sge 0.8600
# 03834, T 1128.6, Ltr 0.1239, Lge 0.0318, Ctr 0.9937, Str 0.8750, Cge 0.9956, Sge 0.9200
# 03902, T 1148.7, Ltr 0.1363, Lge 0.0223, Ctr 0.9994, Str 0.9688, Cge 0.9973, Sge 0.9600
# 03972, T 1168.8, Ltr 0.1547, Lge 0.0668, Ctr 0.9899, Str 0.8750, Cge 0.9901, Sge 0.8900
# 04040, T 1188.9, Ltr 0.1556, Lge 0.0403, Ctr 0.9882, Str 0.8438, Cge 0.9939, Sge 0.8900
# 04109, T 1209.0, Ltr 0.1335, Lge 0.0470, Ctr 0.9943, Str 0.9062, Cge 0.9905, Sge 0.8900
# 04178, T 1229.1, Ltr 0.1228, Lge 0.0736, Ctr 0.9969, Str 0.9062, Cge 0.9909, Sge 0.9100
# 04246, T 1249.4, Ltr 0.1262, Lge 0.0519, Ctr 0.9935, Str 0.8750, Cge 0.9917, Sge 0.9000
# 04316, T 1269.5, Ltr 0.1408, Lge 0.0388, Ctr 0.9947, Str 0.9375, Cge 0.9914, Sge 0.8900
# 04385, T 1289.6, Ltr 0.1788, Lge 0.0400, Ctr 0.9918, Str 0.8750, Cge 0.9913, Sge 0.9000
# 04453, T 1309.8, Ltr 0.1258, Lge 0.0728, Ctr 0.9941, Str 0.9375, Cge 0.9902, Sge 0.8500
# 04523, T 1329.8, Ltr 0.1378, Lge 0.0265, Ctr 0.9953, Str 0.9375, Cge 0.9947, Sge 0.9400
# 04593, T 1350.0, Ltr 0.1418, Lge 0.0749, Ctr 0.9889, Str 0.8750, Cge 0.9886, Sge 0.8500
# 04662, T 1370.3, Ltr 0.1783, Lge 0.0623, Ctr 0.9960, Str 0.9375, Cge 0.9913, Sge 0.8200
# 04731, T 1390.3, Ltr 0.1135, Lge 0.0606, Ctr 0.9946, Str 0.9062, Cge 0.9895, Sge 0.8900
# 04799, T 1410.4, Ltr 0.1576, Lge 0.0372, Ctr 0.9876, Str 0.8750, Cge 0.9921, Sge 0.9000
# 04869, T 1430.6, Ltr 0.1115, Lge 0.0290, Ctr 0.9993, Str 0.9688, Cge 0.9946, Sge 0.9200
# 04939, T 1450.9, Ltr 0.1396, Lge 0.0360, Ctr 0.9897, Str 0.8750, Cge 0.9936, Sge 0.8900
# 05007, T 1470.9, Ltr 0.1475, Lge 0.0411, Ctr 0.9966, Str 0.9062, Cge 0.9942, Sge 0.9200
# 05077, T 1491.0, Ltr 0.1291, Lge 0.0443, Ctr 0.9960, Str 0.9062, Cge 0.9932, Sge 0.9200
# 05147, T 1511.2, Ltr 0.1551, Lge 0.0224, Ctr 0.9886, Str 0.8750, Cge 0.9961, Sge 0.9300
# 05215, T 1531.2, Ltr 0.1604, Lge 0.0263, Ctr 0.9926, Str 0.8438, Cge 0.9934, Sge 0.9300
# 05286, T 1551.4, Ltr 0.1687, Lge 0.0251, Ctr 0.9860, Str 0.8438, Cge 0.9952, Sge 0.9500
# 05356, T 1571.7, Ltr 0.1349, Lge 0.0341, Ctr 0.9917, Str 0.9062, Cge 0.9938, Sge 0.9300
# 05425, T 1591.9, Ltr 0.1027, Lge 0.0081, Ctr 1.0000, Str 1.0000, Cge 0.9994, Sge 0.9800
# 05495, T 1612.1, Ltr 0.1198, Lge 0.0317, Ctr 0.9953, Str 0.9375, Cge 0.9953, Sge 0.9100
# 05563, T 1632.2, Ltr 0.1440, Lge 0.0281, Ctr 0.9933, Str 0.9375, Cge 0.9949, Sge 0.9200
# 05631, T 1652.2, Ltr 0.1501, Lge 0.0391, Ctr 0.9907, Str 0.8438, Cge 0.9929, Sge 0.8900
# 05700, T 1672.5, Ltr 0.1021, Lge 0.0305, Ctr 1.0000, Str 1.0000, Cge 0.9944, Sge 0.8900
# 05768, T 1692.7, Ltr 0.1500, Lge 0.0313, Ctr 0.9886, Str 0.8750, Cge 0.9941, Sge 0.9100
# 05838, T 1712.9, Ltr 0.1320, Lge 0.0222, Ctr 0.9981, Str 0.9688, Cge 0.9958, Sge 0.9300
# 05907, T 1733.1, Ltr 0.1183, Lge 0.0182, Ctr 0.9943, Str 0.9375, Cge 0.9976, Sge 0.9600
# 05975, T 1753.4, Ltr 0.1415, Lge 0.0310, Ctr 0.9929, Str 0.8750, Cge 0.9935, Sge 0.9200
