SEED =  5
iteration number	elapsed seconds	training loss	training fraction nodes/edges labeled correctly	training fraction examples solved correctly	test loss	test fraction nodes/edges labeled correctly	test fraction examples solved correctly	test_perm loss	test_perm fraction nodes/edges labeled correctly	test_perm fraction examples solved correctly
2	50.386881828308105	1.012418305873871	0.8832547169811321	0.0	0.8978285491466522	0.9694777003025917	0.0	0.9115356802940369	0.9636889882910143	0.0
3	67.67518138885498	0.9187951266765595	0.8900592495062541	0.0	0.8276169896125793	0.9665179973616433	0.0	0.8424563407897949	0.9628745524216346	0.0
4	84.77378416061401	0.8925880670547486	0.8729483282674773	0.0	0.7557234466075897	0.9605497582081954	0.0	0.7744585573673248	0.9592771697632986	0.0
5	101.72916293144226	0.8529519349336625	0.8736842105263158	0.0	0.6835962533950806	0.9672750977835723	0.0	0.7039954662322998	0.9633637548891786	0.0
6	120.50843167304993	0.7737680435180665	0.8952916373858046	0.0	0.6348232626914978	0.9707266748339674	0.0	0.6561451852321625	0.9689857502095558	0.0
7	139.78688430786133	0.7191953599452973	0.9029993618379069	0.0	0.5948919057846069	0.9735103465469958	0.0	0.613792359828949	0.9715781600598354	0.0
8	161.49279236793518	0.6583472222089768	0.9210682492581602	0.0	0.5114916861057281	0.9720609110853013	0.0	0.5331474989652634	0.9711575687185443	0.0
9	182.00092816352844	0.6168046310544014	0.9189360354654845	0.0	0.44869622588157654	0.9721424843423799	0.0	0.47808530926704407	0.9703810020876826	0.0
10	203.560884475708	0.5536923885345459	0.9337047353760446	0.0	0.42312344908714294	0.9722630536205024	0.0	0.4504391998052597	0.9705374832236211	0.0
11	228.5175907611847	0.5605959355831146	0.9103013314646111	0.0	0.39691515266895294	0.9729780920512658	0.0	0.42651769518852234	0.9717785213712987	0.0
12	251.96509099006653	0.5478533387184144	0.9142857142857143	0.0	0.3717656880617142	0.973771908170822	0.0	0.41126663982868195	0.9713033818810171	0.0
13	276.2677927017212	0.4998077541589737	0.9288343558282208	0.0	0.35213732719421387	0.9736057356766703	0.0	0.39692166447639465	0.9700526616331451	0.0
14	303.775502204895	0.5024190485477448	0.9130146082337317	0.0	0.32893016934394836	0.9715219421101774	0.0	0.3687691390514374	0.9687875150060024	0.0
15	330.6172752380371	0.47572475075721743	0.9180221210149642	0.0	0.3010222315788269	0.974699672369858	0.0	0.33449896425008774	0.9724547991748574	0.0
16	358.2745382785797	0.415125747025013	0.9326241134751773	0.0	0.2797368913888931	0.9715183389112766	0.0	0.3190389648079872	0.9686496823987433	0.0
17	387.52594351768494	0.40176960676908496	0.9304029304029304	0.0	0.2556330934166908	0.9757082340481864	0.0	0.2994806319475174	0.973325390521578	0.0
18	419.40902304649353	0.3861950486898422	0.9329226557152636	0.0	0.2329249531030655	0.9802496062038046	0.0	0.27101582288742065	0.9765539803707742	0.0
19	451.09911012649536	0.36687181144952774	0.9347545219638242	0.0	0.22176173329353333	0.9756526267821105	0.0	0.27215437591075897	0.9715513312935355	0.0
20	485.03201484680176	0.34798598736524583	0.930391547545059	0.0	0.21122410148382187	0.9760845742280668	0.0	0.2442077249288559	0.9740217881776575	0.0
21	518.6949372291565	0.3763374395668507	0.9079214624238321	0.0	0.2038373425602913	0.9758845496550415	0.0	0.2439631149172783	0.973669219570859	0.0
22	557.054604768753	0.34271435961127283	0.9227082085080887	0.0	0.18402019143104553	0.976692125362128	0.0	0.22830475121736526	0.9734658941269423	0.0
23	593.0847263336182	0.3445458456873894	0.9179206566347469	0.0	0.19076601415872574	0.9758790667104831	0.0	0.24850782752037048	0.9694380545514295	0.0
24	631.317727804184	0.3015858665108681	0.9351732991014121	0.0	0.17811615765094757	0.976478748896456	0.0	0.23257091641426086	0.9708664396519107	0.0
25	670.0543568134308	0.3116965673863888	0.9256944444444445	0.0	0.1615247204899788	0.9757829939795711	0.0	0.21230709552764893	0.9718595684231888	0.0
26	710.6561458110809	0.26998804211616517	0.9300791556728232	0.0	0.16405680775642395	0.9768422302713615	0.0	0.21146638691425323	0.9742889377115374	0.0
27	751.6206929683685	0.2429964356124401	0.9373000639795266	0.0	0.16996261477470398	0.9773320084461558	0.0	0.2173297479748726	0.9748478449882002	0.0
28	798.8464274406433	0.276897981017828	0.9308176100628931	0.0	0.16926506906747818	0.9750513083632633	0.0	0.22516167163848877	0.9719728065674705	0.0
29	842.6604084968567	0.2661404773592949	0.9267822736030829	0.0	0.16311632841825485	0.9755268952500786	0.0	0.2135041281580925	0.9730732934885185	0.0
30	889.2268104553223	0.23088393956422806	0.9340385812072184	0.0	0.14238721504807472	0.9767441860465116	0.0	0.188033826649189	0.9743945053620918	0.0
31	936.2074410915375	0.2582107812166214	0.9143454038997214	0.0	0.12721622735261917	0.9772712843628976	0.0	0.189237080514431	0.9733985143800393	0.0
32	985.9415354728699	0.236697980388999	0.917877447883765	0.0	0.12705977633595467	0.976467477525119	0.01	0.20618394017219543	0.969923320994183	0.0
33	1036.720051765442	0.1965363968163729	0.9374616799509503	0.0	0.12021198868751526	0.9802462801436634	0.04	0.19609897583723068	0.9728707029245767	0.0
34	1089.0020434856415	0.20679734945297243	0.9329140461215933	0.03125	0.12289568409323692	0.9782047800108636	0.02	0.1956152766942978	0.9700570342205324	0.0
35	1146.516809463501	0.17338488772511484	0.9506493506493506	0.0625	0.10649871453642845	0.9857133905633185	0.05	0.16802532970905304	0.9771288927877687	0.0
36	1201.8997707366943	0.16808549351990223	0.9532418952618454	0.09375	0.105254877358675	0.9868212967843965	0.09	0.1849386841058731	0.9724565102793885	0.0
37	1258.3525936603546	0.16769103296101096	0.9609325771896661	0.15625	0.10100065544247627	0.9898355561310371	0.18	0.19006548076868057	0.9729379774698951	0.0
38	1317.0456738471985	0.1392992153763771	0.9794841735052755	0.28125	0.09995763003826141	0.9913537060260049	0.26	0.1983116939663887	0.9706290013860471	0.0
39	1377.8273088932037	0.13146650791168213	0.9877906976744186	0.46875	0.09073030203580856	0.9943446828358209	0.34	0.17110652476549149	0.9773787313432836	0.0
40	1441.2794206142426	0.1301456317305565	0.9877764842840512	0.53125	0.08875730633735657	0.9965289147946821	0.58	0.20342831313610077	0.9702665531468989	0.0
41	1504.3809049129486	0.12671328447759153	0.9936102236421726	0.71875	0.08427945524454117	0.9962375705455523	0.59	0.19727332144975662	0.9707067992475141	0.0
42	1570.4830474853516	0.11266198866069317	0.9918238993710692	0.65625	0.08266713097691536	0.9973556361847364	0.68	0.182080190628767	0.9762622224955415	0.0
43	1643.431510925293	0.1095269687473774	0.9979522184300341	0.90625	0.07865893840789795	0.9980205606283123	0.74	0.1856546327471733	0.9742672881680607	0.0
44	1714.2061579227448	0.09864875078201295	0.9979838709677419	0.90625	0.07668248377740383	0.9988459669582118	0.86	0.181022759526968	0.9757045675413022	0.0
45	1786.1113390922546	0.09337481632828713	0.999379652605459	0.96875	0.06945895403623581	0.999468273661822	0.93	0.1641119122505188	0.979203592106818	0.0
46	1859.1430988311768	0.08451943583786488	0.998849252013809	0.9375	0.06751031801104546	0.9998056239471297	0.97	0.1920488066971302	0.9785538421666451	0.04
47	1934.7924687862396	0.08446255438029766	1.0	1.0	0.06334086321294308	1.0	1.0	0.17233119159936905	0.9817487266553481	0.02
48	2012.5031187534332	0.07744561433792115	1.0	1.0	0.06445993855595589	0.9997463860005072	0.96	0.15274469554424286	0.9833882830332235	0.05
49	2090.9064774513245	0.08064530342817307	1.0	1.0	0.06110815703868866	1.0	1.0	0.1573447547852993	0.9808002061722827	0.05
50	2171.653238773346	0.07173423171043396	1.0	1.0	0.05949205905199051	0.9999371622470781	0.99	0.16608154401183128	0.9830966444639939	0.02
51	2255.1599674224854	0.06682544704526663	0.9994469026548672	0.96875	0.05552968382835388	1.0	1.0	0.1574779972434044	0.9836445887948034	0.03
52	2340.102954149246	0.06673546694219112	1.0	1.0	0.0537458099424839	1.0	1.0	0.16237539798021317	0.9844621264331809	0.05
53	2425.805335998535	0.06668973937630654	1.0	1.0	0.052133189514279366	0.9999372686782511	0.99	0.17320780083537102	0.9836898563452732	0.07
54	2519.1941409111023	0.058423855714499956	0.9993935718617344	0.96875	0.05005075968801975	1.0	1.0	0.15707837790250778	0.9850058343057176	0.06
55	2608.253117799759	0.057909282296895986	0.9993710691823899	0.96875	0.04832727648317814	1.0	1.0	0.19745990633964539	0.9843155615380114	0.03
56	2700.3252127170563	0.06304370500147342	0.999348109517601	0.96875	0.0602328572422266	0.9989396868957775	0.85	0.24547959864139557	0.9820994199463606	0.05
57	2795.111439228058	0.06076354067772627	0.9986206896551724	0.9375	0.045700350776314735	1.0	1.0	0.21877729147672653	0.9832301341589267	0.05
58	2892.9289903640747	0.05288599003106356	1.0	1.0	0.044012706726789474	1.0	1.0	0.1878330372273922	0.9835859467765593	0.06
59	2992.731100797653	0.049371400475502016	1.0	1.0	0.04507860355079174	0.9999344777879702	0.99	0.16167914122343063	0.9841436246887695	0.07
60	3096.7066605091095	0.04946097321808338	1.0	1.0	0.04421394132077694	0.9998658078368223	0.98	0.16435988619923592	0.9842995169082126	0.08

#############################################################################

SEED =  17
iteration number	elapsed seconds	training loss	training fraction nodes/edges labeled correctly	training fraction examples solved correctly	test loss	test fraction nodes/edges labeled correctly	test fraction examples solved correctly	test_perm loss	test_perm fraction nodes/edges labeled correctly	test_perm fraction examples solved correctly
#	T	Ltr	Ctr	Str	Lge	Cge	Sge	Lpe	Cpe	Spe
0	20.15005922317505	1.3101082235574724	0.7688547486033519	0.0	0.8801333904266357	0.9156649990254044	0.0	0.8979299068450928	0.9145604574101748	0.0
1	35.39726185798645	1.1127521276474	0.8218527315914489	0.0	0.7736451923847198	0.9348310191249672	0.0	0.7783543616533279	0.9357479696096411	0.0
2	50.53385615348816	1.0220549255609512	0.8199208443271768	0.0	0.8522282987833023	0.8974341886037988	0.0	0.8306542038917542	0.9094968343885371	0.0
3	66.91227960586548	0.954267355799675	0.8327994875080077	0.0	0.7720981538295746	0.9237901537357182	0.0	0.7607472836971283	0.930430101094694	0.0
4	84.11756110191345	0.9624052077531815	0.8351383874849578	0.0	0.6975935846567154	0.9445927055534376	0.0	0.7101474553346634	0.9442114627017411	0.0
5	101.49844074249268	0.9228969231247902	0.8571428571428571	0.0	0.6754338890314102	0.9477565304336958	0.0	0.6894887089729309	0.9476940382452194	0.0
6	121.36312508583069	0.9077308729290963	0.8513931888544891	0.0	0.665410116314888	0.9462309254044142	0.0	0.6854910403490067	0.945641495841247	0.0
7	140.22848176956177	0.9930356830358505	0.8057932850559578	0.0	0.6406214088201523	0.9528010586678429	0.0	0.6609181761741638	0.9512256600920033	0.0
8	161.92296242713928	0.9060133874416352	0.8439226519337016	0.0	0.6403985396027565	0.9533880534419747	0.0	0.6587018221616745	0.9526691031094602	0.0
9	183.13370537757874	0.868875452876091	0.8575721153846154	0.0	0.6098906397819519	0.9609832699160475	0.0	0.6268786713480949	0.9602585009361599	0.0
10	205.6679515838623	0.8524553298950196	0.8667529107373868	0.0	0.6360625699162483	0.9506861613441067	0.0	0.6612332612276077	0.9482493266641016	0.0
11	229.8830690383911	0.9024394005537033	0.8426812585499316	0.0	0.6116335317492485	0.9593779564806055	0.0	0.6349543109536171	0.9577814569536424	0.0
12	253.21696853637695	0.8239793136715889	0.8700787401574803	0.0	0.6134581938385963	0.9567250691608483	0.0	0.6400129050016403	0.9537610328020024	0.0
13	278.6767361164093	0.8305037826299668	0.8673835125448028	0.0	0.6147232726216316	0.9568281938325991	0.0	0.6409623548388481	0.9534298300818125	0.0
14	307.213502407074	0.7868490636348725	0.8849610545236669	0.0	0.6091801226139069	0.9558705536239637	0.0	0.6347002536058426	0.9526611393420701	0.0
15	333.7838468551636	0.7788468226790428	0.8860450944546009	0.0	0.6053160950541496	0.9536944499966686	0.0	0.6371823698282242	0.9489639549603571	0.0
16	362.3846814632416	0.7619142889976502	0.8845177664974619	0.0	0.5819207355380058	0.9585387435216787	0.0	0.6104178205132484	0.9545569460245228	0.0
17	391.12932324409485	0.693103076517582	0.9071729957805907	0.0	0.5608028024435043	0.959275419806955	0.0	0.5926070287823677	0.9549120719291286	0.0
18	423.39054250717163	0.6851502940058709	0.9071925754060325	0.0	0.5396509096026421	0.9597257355878046	0.0	0.5668164119124413	0.9570629743043536	0.0
19	456.18670105934143	0.7022191554307938	0.8837492391965917	0.0	0.5154216960072517	0.9619029686813532	0.0	0.5476300045847893	0.9578861482457792	0.0
20	488.7302691936493	0.6993534326553346	0.883808095952024	0.0	0.5066841021180153	0.9580381839033933	0.0	0.5378987565636635	0.9547325102880658	0.0
21	524.0876770019531	0.6844130411744118	0.879286694101509	0.0	0.46875840425491333	0.9674811354653252	0.0	0.4953299015760422	0.9657444005270093	0.0
22	562.4138286113739	0.6009006664156914	0.9040225829216655	0.0	0.4480961412191391	0.9681323821775231	0.0	0.47485850006341934	0.966729037539469	0.0
23	599.932297706604	0.5644074812531471	0.9174256223436551	0.0	0.42594635486602783	0.9692906850539488	0.0	0.4484640583395958	0.9690353061354785	0.0
24	638.6006736755371	0.5579027518630028	0.9088213491475167	0.0	0.412003830075264	0.9630290143356883	0.0	0.4412405788898468	0.9625488716647232	0.0
25	678.1730825901031	0.5383333116769791	0.9028169014084507	0.0	0.3900996297597885	0.9703712810425374	0.0	0.41495927423238754	0.9690189328743546	0.0
26	718.152663230896	0.5081665575504303	0.9075182967398536	0.0	0.36755817383527756	0.9734424795350872	0.0	0.39892490208148956	0.9711929013310004	0.03
27	760.6834855079651	0.47268425524234775	0.9368872549019608	0.0625	0.3367285095155239	0.9808349609375	0.02	0.36449649184942245	0.977783203125	0.03
28	806.7813398838043	0.46385028138756756	0.9359886201991465	0.0	0.3148636259138584	0.9822467280659234	0.02	0.3481018394231796	0.980186621425109	0.07
29	852.0383367538452	0.45629341751337055	0.9406834300451322	0.0	0.2966371923685074	0.9856588176352705	0.03	0.3262644074857235	0.9850951903807615	0.08
30	898.0234758853912	0.4152813166379929	0.9521654815772462	0.0625	0.27533992752432823	0.9879604789635543	0.11	0.3094479888677597	0.9856703526794478	0.07
31	947.0909488201141	0.39002862349152567	0.9599211563731932	0.125	0.2601706124842167	0.9884947267497604	0.12	0.29603176936507225	0.9868328539469479	0.12
32	997.1224191188812	0.3671034261584282	0.9673286354900704	0.25	0.2377888485789299	0.9920871559633028	0.16	0.2661413513123989	0.9901949541284404	0.15
33	1047.5830159187317	0.3586844459176064	0.976897689768977	0.28125	0.21482845395803452	0.9947395765683855	0.41	0.2514687590301037	0.990453305624107	0.25
34	1100.7039473056793	0.335614188015461	0.9845132743362832	0.53125	0.21095377206802368	0.9947600083839866	0.39	0.24648229777812958	0.9903584154265354	0.24
35	1159.0977010726929	0.294231453537941	0.9965301873698821	0.875	0.19153083860874176	0.9955191895577635	0.46	0.23410506919026375	0.9907786219884408	0.3
36	1214.3037514686584	0.27782700285315515	0.9904191616766467	0.65625	0.17325877770781517	0.9962582445459158	0.53	0.21143904328346252	0.9914383561643836	0.24
37	1272.0706446170807	0.26645473167300227	0.9907735982966643	0.65625	0.15771337412297726	0.9967534618697409	0.58	0.1920410469174385	0.992446829656132	0.29
38	1331.0525679588318	0.25186971426010135	0.9926372155287818	0.6875	0.14694719016551971	0.9969267436026091	0.61	0.18053311109542847	0.9936026091319619	0.34
39	1391.9837846755981	0.21989669874310494	0.9966487935656837	0.84375	0.13833941519260406	0.9973221117061974	0.66	0.17133091017603874	0.9938791124713083	0.46
40	1454.7423543930054	0.21533587612211705	0.9971811134601832	0.875	0.12951159663498402	0.9974012803448057	0.67	0.16753971576690674	0.9937884261900235	0.39
41	1519.1319267749786	0.20026875771582128	0.9961612284069098	0.8125	0.12386421859264374	0.9979722879351132	0.74	0.1632129456847906	0.9947279486312943	0.49
42	1586.7559461593628	0.19744472205638885	0.9946236559139785	0.78125	0.11711829155683517	0.9984723106301718	0.77	0.16182192601263523	0.9946530872056015	0.41
43	1659.9166479110718	0.18126449584960938	0.9968652037617555	0.84375	0.10905740596354008	0.9984645169904534	0.77	0.1538650095462799	0.9944589091394619	0.38
44	1731.014707326889	0.15851468555629256	0.997588908981314	0.875	0.0977140162140131	0.9986848162030644	0.81	0.13995869271457195	0.99427895048333	0.45
45	1803.523564338684	0.15084477439522745	0.9981366459627329	0.90625	0.09367677755653858	0.9979226492332132	0.69	0.13401472568511963	0.9948677216349973	0.47
46	1878.2495641708374	0.14545060954988004	0.9946200403496974	0.78125	0.08735698275268078	0.9983427879405953	0.75	0.1129560824483633	0.9963031423290203	0.54
47	1954.2550251483917	0.12298589684069157	0.9994040524433849	0.96875	0.08344640582799911	0.9978735038580716	0.72	0.1185021847486496	0.9955647366182636	0.5
48	2033.070072889328	0.1252779766917229	0.9970077797725913	0.84375	0.08168632630258799	0.9984271783579742	0.76	0.11456190794706345	0.9956590122680088	0.49
49	2113.4397282600403	0.10958501677960159	1.0	1.0	0.07202006410807371	0.9987445072190835	0.82	0.1022829283028841	0.9965473948524796	0.57
50	2196.7323405742645	0.10658792462199927	1.0	1.0	0.06410290114581585	0.9991347877139856	0.86	0.09279274381697178	0.9971571596316667	0.64
51	2281.1674563884735	0.10762438457459211	0.9994327850255247	0.96875	0.05841062590479851	0.9995689920571393	0.93	0.09703146573156118	0.9961825010775198	0.55
52	2368.5629227161407	0.09894073642790319	0.9993174061433447	0.96875	0.05589862447232008	0.9997501561524047	0.96	0.10443285014480352	0.9949406620861961	0.4
53	2461.101191520691	0.09304622784256936	1.0	1.0	0.05546512175351381	0.9999337089824328	0.99	0.10571295022964478	0.9948955916473318	0.4
54	2550.2143290042877	0.09350469261407852	1.0	1.0	0.05224255844950676	0.9998828559714169	0.98	0.09964280296117067	0.9949042347566333	0.45
55	2640.9335064888	0.0824641129001975	1.0	1.0	0.04713826719671488	0.9999364998729997	0.99	0.08901799935847521	0.9961264922529846	0.54
56	2733.4692330360413	0.0833334967494011	0.999375	0.96875	0.045543888583779335	0.9998064765836666	0.97	0.08882943913340569	0.9961295316733325	0.56
57	2830.2499969005585	0.07574729528278112	0.9979166666666667	0.90625	0.043233768083155155	0.9998769155024925	0.98	0.07633015513420105	0.9979075635423719	0.68
58	2930.7307255268097	0.07595287133008242	0.9992727272727273	0.96875	0.04392707999795675	0.9996981040937085	0.95	0.07752558216452599	0.9975848327496679	0.63
59	3031.4522457122803	0.07042330158874392	0.9993865030674847	0.96875	0.040601637214422226	0.9999387817569636	0.99	0.07532924972474575	0.997551270278543	0.65
60	3138.0920026302338	0.06847924310714007	0.9994305239179955	0.96875	0.037622926756739616	1.0	1.0	0.07377663627266884	0.9969674506368353	0.6

#############################################################################

SEED =  25
iteration number	elapsed seconds	training loss	training fraction nodes/edges labeled correctly	training fraction examples solved correctly	test loss	test fraction nodes/edges labeled correctly	test fraction examples solved correctly	test_perm loss	test_perm fraction nodes/edges labeled correctly	test_perm fraction examples solved correctly
#	T	Ltr	Ctr	Str	Lge	Cge	Sge	Lpe	Cpe	Spe
0	22.446539163589478	2.132509359717369	0.6142857142857143	0.0	2.084884375333786	0.7406803962460897	0.0	2.165844351053238	0.7241266944734098	0.0
1	38.37904453277588	2.092184141278267	0.6945169712793734	0.0	2.2083427608013153	0.7675474553824809	0.0	2.2079658210277557	0.7553131109289273	0.0
2	54.481480836868286	1.8732714235782624	0.7085714285714285	0.0	1.9176392257213593	0.7637188490460506	0.0	1.979995995759964	0.7731651233608849	0.0
3	71.40027642250061	1.5656999558210374	0.7180811808118082	0.0	1.8042124956846237	0.839550395256917	0.0	1.8313979804515839	0.8268898221343873	0.0
4	89.15788054466248	1.474425020813942	0.7529631940112289	0.0	1.8619481921195984	0.8376632208922742	0.0	1.8944769501686096	0.823993471164309	0.0
5	107.26952600479126	1.3708497673273088	0.753968253968254	0.0	1.6086685508489609	0.8505719004220441	0.0	1.6689212322235107	0.8392562236222398	0.0
6	128.05718564987183	1.2642819285392761	0.7510917030567685	0.0	1.635232761502266	0.8588459411294783	0.0	1.6484093219041824	0.8529465986603576	0.0
7	147.9928469657898	1.1470331341028215	0.7957559681697612	0.0	1.0191658288240433	0.8887854527400236	0.0	1.0892917811870575	0.8823930987401477	0.0
8	169.70135807991028	0.9674052372574806	0.8402332361516035	0.0	0.6386651992797852	0.955348599859667	0.0	0.6940751075744629	0.9435478726797218	0.0
9	191.5816035270691	0.8296856924891473	0.8813664596273292	0.0	0.6715013831853867	0.9577481552011425	0.0	0.6515515446662903	0.9570340395144014	0.0
10	213.79062509536743	0.8740009561181069	0.8528645833333334	0.0	0.6631019562482834	0.9520317545748116	0.0	0.6464344710111618	0.9520317545748116	0.0
11	238.50187730789185	0.9037386357784272	0.8433179723502304	0.0	0.6182717829942703	0.9578733814666747	0.0	0.621673122048378	0.9560236290948148	0.0
12	263.2396378517151	0.8015596240758897	0.8707613563659629	0.0	0.5840148776769638	0.9577315956322648	0.0	0.5749137848615646	0.957320652812023	0.0
13	289.41340470314026	0.8226569786667824	0.8625561978163134	0.0	0.578997015953064	0.9434342032204331	0.0	0.5850040912628174	0.9437118267629095	0.0
14	317.2602479457855	0.8791462004184724	0.8381962864721485	0.0	0.5243948847055435	0.9492687977222726	0.0	0.537685826420784	0.9494629222207842	0.0
15	344.0922152996063	0.7940526366233827	0.8540575916230366	0.0	0.47546595335006714	0.9541367488194579	0.0	0.5008550882339478	0.9532311274985446	0.0
16	372.93710565567017	0.8502883151173593	0.836076817558299	0.0	0.49730120599269867	0.9529898690387941	0.0	0.5243702828884125	0.952866320731406	0.0
17	402.66493916511536	0.8145192846655847	0.8441247002398081	0.0	0.5055170804262161	0.9509632224168126	0.0	0.5448087304830551	0.9507611477839149	0.0
18	436.4307281970978	0.8155867949128152	0.8371757925072046	0.0	0.489390105009079	0.9602009273570324	0.0	0.5297860354185104	0.9585265327150954	0.0
19	469.62901282310486	0.7431103453040123	0.8583106267029973	0.0	0.511038675904274	0.9604958367244726	0.0	0.5566364377737045	0.9573029487259751	0.0
20	502.4674458503723	0.6395868420600892	0.8955135773317592	0.0	0.531293973326683	0.9560113434017015	0.0	0.5880568772554398	0.9487568423135263	0.0
21	537.4658892154694	0.7464124575257302	0.8606610499027868	0.0	0.5287400186061859	0.9598964292165955	0.0	0.5664549767971039	0.9550189679051002	0.0
22	575.747062921524	0.69918043166399	0.8720626631853786	0.0	0.5025684013962746	0.9632993512511585	0.0	0.5453274995088577	0.9564411492122336	0.0
23	613.1584997177124	0.6963740721344949	0.8736156351791531	0.0	0.5058708190917969	0.9574453960034521	0.0	0.5441697537899017	0.9511385514173804	0.0
24	651.5486297607422	0.7126976191997528	0.8641975308641975	0.0	0.4875980019569397	0.9628429994499786	0.0	0.5333418846130371	0.9560594023100898	0.0
25	691.9376845359802	0.7133686378598214	0.8662460567823344	0.0	0.5007564723491669	0.955197017419811	0.0	0.5298531949520111	0.9527543870926272	0.0
26	733.43084025383	0.6653366565704346	0.8814229249011858	0.0	0.4816543161869049	0.957953543075566	0.0	0.5015182495117188	0.9578359306086445	0.0
