graphs:
num_nodes_min_max_tr = (16, 33)
num_nodes_min_max_ge = (16, 33) --> permutations of tr

results:
iteration number	elapsed seconds	training loss	test/generalization loss	training fraction mse	training fraction examples solved correctly	test/generalization mse	test/generalization fraction examples solved correctly
#	T	Ltr	Lge	Ctr	Str	Cge	Sge
437	369.04001927375793	0.0016709432587958873	0.001653960905969143	1.0	1.0	1.0	1.0
444	374.68428015708923	0.0016287091770209373	0.0016117568593472242	1.0	1.0	1.0	1.0
450	379.7198688983917	0.0015467997523956002	0.0015301721869036555	1.0	1.0	1.0	1.0
457	385.3933403491974	0.001563327293843031	0.0015486308839172125	1.0	1.0	1.0	1.0
464	391.1126811504364	0.0015187287121079863	0.0015038585988804698	1.0	1.0	1.0	1.0
471	396.79575872421265	0.0014561788295395673	0.0014411675510928035	1.0	1.0	1.0	1.0
478	402.439501285553	0.0014170588576234878	0.0014026317512616515	1.0	1.0	1.0	1.0
485	407.9181206226349	0.0013937524403445424	0.0013795628910884261	1.0	1.0	1.0	1.0
492	413.70252203941345	0.0012981291161850096	0.0012862985022366047	1.0	1.0	1.0	1.0
499	419.6208484172821	0.0012559506692923607	0.001243649167008698	1.0	1.0	1.0	1.0
505	424.98676919937134	0.0012868562364019454	0.001275239628739655	1.0	1.0	1.0	1.0
511	430.1799199581146	0.001262966636568308	0.0012507213978096843	1.0	1.0	1.0	1.0
518	435.5026435852051	0.0012154950993135572	0.0012035531690344214	1.0	1.0	1.0	1.0
524	440.6338942050934	0.0011544556822627784	0.0011435233755037189	1.0	1.0	1.0	1.0
531	446.00214195251465	0.0012129038688726724	0.0012014145031571388	1.0	1.0	1.0	1.0
538	451.81889247894287	0.0011063370853662492	0.001095790066756308	1.0	1.0	1.0	1.0
545	457.37480187416077	0.0011092948261648417	0.001099083572626114	1.0	1.0	1.0	1.0
551	462.54458451271057	0.0010698817088268698	0.0010598263470456004	1.0	1.0	1.0	1.0
557	468.4034459590912	0.0010539606446400285	0.0010448892135173082	1.0	1.0	1.0	1.0
563	473.86038732528687	0.0010155893862247467	0.0010061734355986118	1.0	1.0	1.0	1.0
570	479.3513174057007	0.0010543252457864583	0.00104520411696285	1.0	1.0	1.0	1.0
576	484.7720584869385	0.0009892359143123032	0.000980305951088667	1.0	1.0	1.0	1.0
583	490.53957080841064	0.0009618558629881591	0.0009533126140013337	1.0	1.0	1.0	1.0
590	496.42285895347595	0.0009411335107870401	0.0009324172278866172	1.0	1.0	1.0	1.0
597	501.98688530921936	0.0009278052020817995	0.0009199298219755292	1.0	1.0	1.0	1.0
603	507.3296525478363	0.0009214626625180244	0.0009133365238085389	1.0	1.0	1.0	1.0
609	512.6628060340881	0.0008774981484748423	0.0008695696014910936	1.0	1.0	1.0	1.0
616	518.1192803382874	0.00087080302182585	0.0008630708325654268	1.0	1.0	1.0	1.0
623	523.5169339179993	0.0008536174369510263	0.0008461011457256973	1.0	1.0	1.0	1.0
629	528.653223991394	0.0008527268422767521	0.0008454635390080512	1.0	1.0	1.0	1.0
636	534.3655846118927	0.0008232599415350706	0.000815898587461561	1.0	1.0	1.0	1.0
643	540.2062602043152	0.0008077107078861446	0.0008010633755475283	1.0	1.0	1.0	1.0
650	545.8337371349335	0.0007938934664707631	0.000787380849942565	1.0	1.0	1.0	1.0
656	550.9259912967682	0.0007991510967258364	0.0007922898512333632	1.0	1.0	1.0	1.0
663	556.3640995025635	0.0007736066705547273	0.0007671674247831106	1.0	1.0	1.0	1.0
670	561.9399783611298	0.0007245976477861405	0.0007186314323917031	1.0	1.0	1.0	1.0
677	567.2806098461151	0.0007391382998321206	0.0007326476043090224	1.0	1.0	1.0	1.0
684	572.9765949249268	0.0007101648428943009	0.0007040270138531923	1.0	1.0	1.0	1.0
691	578.8407468795776	0.0006884788570459933	0.0006826250464655459	1.0	1.0	1.0	1.0
697	584.0149765014648	0.0007090671046171338	0.0007036956958472729	1.0	1.0	1.0	1.0
703	589.6456978321075	0.000681651895865798	0.0006760467076674104	1.0	1.0	1.0	1.0
710	595.23020362854	0.0006711494585033506	0.0006658165366388857	1.0	1.0	1.0	1.0
717	600.6774435043335	0.0006472195440437646	0.0006424036109820008	1.0	1.0	1.0	1.0
724	606.0353164672852	0.0006663050386123359	0.0006611573044210672	1.0	1.0	1.0	1.0
730	611.3743431568146	0.0006098584504798055	0.0006048147333785892	1.0	1.0	1.0	1.0
737	616.9564254283905	0.0005927196238189937	0.0005876992363482714	1.0	1.0	1.0	1.0
744	622.570303440094	0.0005992174497805536	0.0005942927673459053	1.0	1.0	1.0	1.0
751	627.9108214378357	0.0005843867314979434	0.0005795531906187534	1.0	1.0	1.0	1.0
757	633.3513000011444	0.0005773250362835824	0.0005725731025449932	1.0	1.0	1.0	1.0
764	639.0476081371307	0.0005682058283127845	0.0005636228015646338	1.0	1.0	1.0	1.0
771	644.5843071937561	0.0005735314567573369	0.0005689231329597533	1.0	1.0	1.0	1.0
778	650.2490472793579	0.0005546122847590595	0.0005506941815838218	1.0	1.0	1.0	1.0
785	655.5591549873352	0.0005578003823757171	0.0005535484524443746	1.0	1.0	1.0	1.0
791	660.6514711380005	0.0005394972045905888	0.0005358595517463982	1.0	1.0	1.0	1.0
797	666.2934079170227	0.0005550129164475948	0.0005512434872798622	1.0	1.0	1.0	1.0
803	671.6896119117737	0.0005231172661297024	0.000519228633493185	1.0	1.0	1.0	1.0
810	677.3221287727356	0.0004982331534847617	0.0004940708167850971	1.0	1.0	1.0	1.0
817	682.7531864643097	0.0005015581729821861	0.0004975982010364532	1.0	1.0	1.0	1.0
824	688.5498187541962	0.0005000476900022477	0.0004960496444255114	1.0	1.0	1.0	1.0
830	693.6294238567352	0.0004961390397511423	0.0004923745291307569	1.0	1.0	1.0	1.0
837	699.0834577083588	0.0004975747899152339	0.0004937218618579209	1.0	1.0	1.0	1.0
844	704.7900319099426	0.0004623915738193318	0.00045895721996203065	1.0	1.0	1.0	1.0
851	710.4378733634949	0.00046461247839033607	0.00046104504144750535	1.0	1.0	1.0	1.0
857	715.4826192855835	0.0004497866000747308	0.00044642985449172556	1.0	1.0	1.0	1.0
863	720.6551492214203	0.0004889850853942335	0.0005033505149185658	1.0	1.0	1.0	1.0
870	726.422208070755	0.0004498219204833731	0.00044649341725744307	1.0	1.0	1.0	1.0
877	732.1418943405151	0.0004393398179672659	0.0004361680767033249	1.0	1.0	1.0	1.0
884	737.6275236606598	0.00042339340143371373	0.0004202899581287056	1.0	1.0	1.0	1.0
890	742.7520077228546	0.00042243412171956153	0.00041929128929041326	1.0	1.0	1.0	1.0
896	748.568216085434	0.0004337399906944484	0.0004305116890463978	1.0	1.0	1.0	1.0
902	753.6218101978302	0.00042827641300391406	0.0004250293131917715	1.0	1.0	1.0	1.0
909	759.3814589977264	0.0004034898767713458	0.0004008219693787396	1.0	1.0	1.0	1.0
916	764.936408996582	0.0003987959789810702	0.00039585185004398227	1.0	1.0	1.0	1.0
923	770.7354044914246	0.0003969629498897121	0.0003941345203202218	1.0	1.0	1.0	1.0
929	776.6043834686279	0.0003782767802476883	0.0003757387166842818	1.0	1.0	1.0	1.0
935	782.1757328510284	0.0003801082842983306	0.0003773005155380815	1.0	1.0	1.0	1.0
942	787.819479227066	0.0003851625981042162	0.00038235713145695627	1.0	1.0	1.0	1.0
948	793.1127054691315	0.0003757761471206323	0.0003729299933183938	1.0	1.0	1.0	1.0
955	798.7146344184875	0.00034086032828781757	0.000338167097652331	1.0	1.0	1.0	1.0
962	804.31391954422	0.0003721086075529456	0.0003695095656439662	1.0	1.0	1.0	1.0
969	809.7126569747925	0.00036763128882739694	0.00036512743099592626	1.0	1.0	1.0	1.0
976	815.3759446144104	0.0003562905330909416	0.0003537963202688843	1.0	1.0	1.0	1.0
983	820.797993183136	0.000362939020851627	0.0003605548699852079	1.0	1.0	1.0	1.0
989	826.5372586250305	0.00034037952136714014	0.0003380496636964381	1.0	1.0	1.0	1.0
995	831.8829591274261	0.00033057754335459323	0.00032815305166877806	1.0	1.0	1.0	1.0
1001	836.9821217060089	0.0003283933037891984	0.00032604383886791766	1.0	1.0	1.0	1.0
1008	842.6110501289368	0.0003167507180478424	0.00031447276705875993	1.0	1.0	1.0	1.0
1015	847.8351924419403	0.00034004333720076834	0.00033764977706596255	1.0	1.0	1.0	1.0
1022	853.2979893684387	0.0003305811464088038	0.00032845212263055146	1.0	1.0	1.0	1.0
1028	858.5003426074982	0.0003186460031429306	0.00031646573916077614	1.0	1.0	1.0	1.0
1035	863.9605209827423	0.0003060900606215	0.0003039319417439401	1.0	1.0	1.0	1.0
1042	869.7105135917664	0.0002988213731441647	0.00029675220139324665	1.0	1.0	1.0	1.0
1049	875.1754050254822	0.00029572725179605186	0.00029364225338213146	1.0	1.0	1.0	1.0
1056	881.0273451805115	0.0002963227278087288	0.0002943720028270036	1.0	1.0	1.0	1.0
1063	886.6386477947235	0.00029251459636725485	0.0002905159490182996	1.0	1.0	1.0	1.0
1070	892.107851266861	0.00029330087418202313	0.00029133990756236017	1.0	1.0	1.0	1.0
1077	897.8188986778259	0.00028178713109809904	0.00027989971567876637	1.0	1.0	1.0	1.0
1084	903.5532050132751	0.0002934316900791601	0.0002917193342000246	1.0	1.0	1.0	1.0
1090	909.4661493301392	0.0002788697136566043	0.0002771504514385015	1.0	1.0	1.0	1.0
1096	914.6885721683502	0.0002774272958049551	0.0002756741887424141	1.0	1.0	1.0	1.0
1102	919.7218718528748	0.0002784574840916321	0.0002766693360172212	1.0	1.0	1.0	1.0
1109	925.1473939418793	0.0002859044267097488	0.00028413397376425564	1.0	1.0	1.0	1.0
1116	930.6400771141052	0.0002645660773850978	0.0002628130023367703	1.0	1.0	1.0	1.0
1122	935.6549434661865	0.00026364903314970436	0.0002620353188831359	1.0	1.0	1.0	1.0
1129	941.2761905193329	0.00025263541319873187	0.00025095659657381475	1.0	1.0	1.0	1.0
1136	946.6689269542694	0.0002627696667332202	0.00026116223307326436	1.0	1.0	1.0	1.0
1143	952.2891216278076	0.000250464107375592	0.0002488328027538955	1.0	1.0	1.0	1.0
1150	957.7817492485046	0.00024724050017539413	0.00024567326181568205	1.0	1.0	1.0	1.0
1156	962.8338460922241	0.0002561681030783802	0.0002546192263253033	1.0	1.0	1.0	1.0
1163	968.2802004814148	0.0002411904453765601	0.00023970758775249124	1.0	1.0	1.0	1.0
1170	973.5693950653076	0.000246026148670353	0.00024451498757116497	1.0	1.0	1.0	1.0
1177	979.0562372207642	0.00024613490386400373	0.0002445628633722663	1.0	1.0	1.0	1.0
1184	984.8072965145111	0.00023893723846413195	0.00023754620633553714	1.0	1.0	1.0	1.0
1190	990.669326543808	0.0002327423731912859	0.0002314583252882585	1.0	1.0	1.0	1.0
1197	996.4562315940857	0.0002281934372149408	0.00022682579583488405	1.0	1.0	1.0	1.0
1204	1002.2171568870544	0.00022536383621627465	0.00022402466856874526	1.0	1.0	1.0	1.0
1211	1007.8141615390778	0.00023189453058876098	0.0002306509850313887	1.0	1.0	1.0	1.0
1218	1013.2722885608673	0.00022060704650357367	0.00021928106434643269	1.0	1.0	1.0	1.0
1224	1018.4209816455841	0.00022789257782278584	0.00022647104924544692	1.0	1.0	1.0	1.0
1231	1024.1433658599854	0.00021850663324585184	0.00021717604249715805	1.0	1.0	1.0	1.0
1238	1029.719075679779	0.00021583766647381708	0.0002146140905097127	1.0	1.0	1.0	1.0
1245	1035.2788443565369	0.00021305273985490204	0.00021179374016355723	1.0	1.0	1.0	1.0
1252	1040.970899105072	0.0002131216766429134	0.00021185680816415697	1.0	1.0	1.0	1.0
1258	1046.0582129955292	0.0002035924102528952	0.0002025269204750657	1.0	1.0	1.0	1.0
1265	1051.6488845348358	0.00020840705547016115	0.00020727742230519652	1.0	1.0	1.0	1.0
1272	1057.061805009842	0.00020330840343376624	0.00020210389629937708	1.0	1.0	1.0	1.0
1279	1062.6747870445251	0.00019790389342233539	0.00019680427794810385	1.0	1.0	1.0	1.0
1285	1068.2449390888214	0.00019923988729715348	0.00019808116485364735	1.0	1.0	1.0	1.0
1291	1073.9948375225067	0.0001999689789954573	0.0001989323500311002	1.0	1.0	1.0	1.0
1298	1079.334227323532	0.00019601414387580008	0.00019487796816974878	1.0	1.0	1.0	1.0
1304	1084.7036983966827	0.00019672218622872608	0.00019572197925299406	1.0	1.0	1.0	1.0
1310	1090.3053796291351	0.00019726252066902818	0.0001962989626917988	1.0	1.0	1.0	1.0
1316	1095.5716745853424	0.00019389009539736435	0.00019291762146167457	1.0	1.0	1.0	1.0
1322	1100.8778977394104	0.00017750541301211344	0.00017655731062404811	1.0	1.0	1.0	1.0
1329	1106.451936006546	0.00018776819779304789	0.00018694816390052438	1.0	1.0	1.0	1.0
1336	1112.379402399063	0.0001733384997351095	0.000172396597918123	1.0	1.0	1.0	1.0
1343	1118.1007933616638	0.00017926272557815538	0.00017835975449997932	1.0	1.0	1.0	1.0
1350	1123.7514200210571	0.0001829814209486358	0.0001821295591071248	1.0	1.0	1.0	1.0
1356	1128.8948259353638	0.00017553632351337002	0.0001745986519381404	1.0	1.0	1.0	1.0
1363	1134.3871366977692	0.0001697907238849439	0.00016900514310691506	1.0	1.0	1.0	1.0
1370	1140.1820766925812	0.00016749781061662362	0.0001666290481807664	1.0	1.0	1.0	1.0
1377	1145.87788271904	0.00017665363120613622	0.0001758706639520824	1.0	1.0	1.0	1.0
1383	1151.8404471874237	0.00016406342765549198	0.00016319467977155	1.0	1.0	1.0	1.0
1389	1157.080885887146	0.00017493525228928775	0.00017413367459084839	1.0	1.0	1.0	1.0
1396	1162.773057937622	0.00016515190072823317	0.00016435960424132645	1.0	1.0	1.0	1.0
1403	1168.5208094120026	0.000159413181245327	0.0001586178841535002	1.0	1.0	1.0	1.0
1410	1174.147890329361	0.00016160677623702215	0.00016098011110443622	1.0	1.0	1.0	1.0
1417	1179.5718727111816	0.00016156413330463694	0.00016081574722193182	1.0	1.0	1.0	1.0
1423	1184.6208412647247	0.00016931315185502173	0.00016855985450092703	1.0	1.0	1.0	1.0
1430	1189.9584481716156	0.0001688246542471461	0.0001682067522779107	1.0	1.0	1.0	1.0
1437	1195.6036539077759	0.00015693980676587672	0.0001564373233122751	1.0	1.0	1.0	1.0
1444	1201.3400955200195	0.00014989257615525276	0.00014918677334208041	1.0	1.0	1.0	1.0
1450	1206.481017112732	0.00015021045837784188	0.00014951165940146893	1.0	1.0	1.0	1.0
1457	1212.1930346488953	0.00014476241922238843	0.00014409245341084898	1.0	1.0	1.0	1.0
1464	1217.7184019088745	0.00014781728823436426	0.00014711212133988738	1.0	1.0	1.0	1.0
1471	1223.2224595546722	0.0001531846675788984	0.00015259931387845427	1.0	1.0	1.0	1.0
1477	1228.5774030685425	0.0001452000651624985	0.00014465497224591672	1.0	1.0	1.0	1.0
1483	1234.6550080776215	0.00014647233474534007	0.00014588756312150508	1.0	1.0	1.0	1.0
1490	1240.1358294487	0.00014223116741050035	0.00014161579019855708	1.0	1.0	1.0	1.0
1497	1245.5231273174286	0.00014806987310294064	0.00014745951921213418	1.0	1.0	1.0	1.0
1504	1251.0706775188446	0.00013845264038536698	0.0001378719025524333	1.0	1.0	1.0	1.0
1511	1256.749481678009	0.0001359544534352608	0.00013533617311622947	1.0	1.0	1.0	1.0
1518	1262.3954849243164	0.00013672730565303937	0.00013623354607261717	1.0	1.0	1.0	1.0
1525	1268.2361469268799	0.00013193721388233827	0.00013145199045538902	1.0	1.0	1.0	1.0
1532	1273.688158750534	0.00014071439363760874	0.00014027034922037274	1.0	1.0	1.0	1.0
1539	1279.068836927414	0.00014252719702199102	0.0001420384069206193	1.0	1.0	1.0	1.0
1546	1284.757770061493	0.0001281844437471591	0.00012778617383446544	1.0	1.0	1.0	1.0
1552	1289.8597476482391	0.00013292417716002092	0.00013241980923339725	1.0	1.0	1.0	1.0
1559	1295.668067932129	0.0001285007136175409	0.0001280477299587801	1.0	1.0	1.0	1.0
1566	1301.425418138504	0.0001269276690436527	0.00012649544805753976	1.0	1.0	1.0	1.0
1573	1307.1441571712494	0.0001278833588003181	0.0001275063114007935	1.0	1.0	1.0	1.0
1579	1312.7221043109894	0.000129081193881575	0.0001287116901949048	1.0	1.0	1.0	1.0
1585	1318.3170669078827	0.00012595082662301139	0.00012560519098769873	1.0	1.0	1.0	1.0
1592	1323.902717590332	0.00013047071697656066	0.00013010839757043868	1.0	1.0	1.0	1.0
1599	1329.7047214508057	0.0001207320332468953	0.00012035436520818621	1.0	1.0	1.0	1.0
1606	1335.2478981018066	0.00012431778304744512	0.00012389379844535142	1.0	1.0	1.0	1.0
1613	1341.247463464737	0.00012138027159380727	0.00012100137973902747	1.0	1.0	1.0	1.0
1620	1346.777638912201	0.00012053166428813711	0.00012020664871670306	1.0	1.0	1.0	1.0
1627	1352.5311596393585	0.00011814983663498424	0.00011780152999563143	1.0	1.0	1.0	1.0
1634	1357.9982464313507	0.00012045144321746193	0.00012012056686216965	1.0	1.0	1.0	1.0
1641	1363.5975105762482	0.0001214548945426941	0.00012115707068005577	1.0	1.0	1.0	1.0
1647	1368.807196855545	0.00011137392357341014	0.0001110107550630346	1.0	1.0	1.0	1.0
1654	1374.315538406372	0.00011779044871218503	0.00011749237455660477	1.0	1.0	1.0	1.0
1661	1380.1165034770966	0.00011606530024437234	0.00011580728460103273	1.0	1.0	1.0	1.0
1668	1385.6946413516998	0.00011721427508746274	0.0001169597016996704	1.0	1.0	1.0	1.0
1674	1391.3071556091309	0.00011703180935001001	0.00011675216956064105	1.0	1.0	1.0	1.0
1680	1397.1410779953003	0.00011090400512330234	0.00011065773287555203	1.0	1.0	1.0	1.0
1686	1402.910939693451	0.00010833657579496504	0.0001080743531929329	1.0	1.0	1.0	1.0
1693	1408.602590084076	0.00010538258575252258	0.00010512510198168457	1.0	1.0	1.0	1.0
1699	1413.6188943386078	0.00010386150097474456	0.0001035843015415594	1.0	1.0	1.0	1.0
1706	1419.10200548172	0.00010978743302985095	0.00010961741645587608	1.0	1.0	1.0	1.0
1712	1424.2026627063751	0.0001054507534718141	0.00010517813643673435	1.0	1.0	1.0	1.0
1719	1429.6280703544617	0.00010706385583034717	0.00010686127643566579	1.0	1.0	1.0	1.0
1725	1434.6320159435272	0.00010312761150998995	0.00010286799079040065	1.0	1.0	1.0	1.0
1732	1439.971704006195	0.00010309640056220815	0.00010289932106388733	1.0	1.0	1.0	1.0
1739	1445.6384799480438	0.00010413570489617996	0.0001040223432937637	1.0	1.0	1.0	1.0
1745	1450.8460972309113	0.0001016470130707603	0.00010142955579794943	1.0	1.0	1.0	1.0
1752	1456.4426958560944	0.00010345587797928603	0.00010325845505576581	1.0	1.0	1.0	1.0
1759	1461.9591579437256	0.00010149892186746002	0.00010129061411134899	1.0	1.0	1.0	1.0
1765	1466.9889013767242	0.00010074842721223831	0.00010052700963569805	1.0	1.0	1.0	1.0
1771	1472.4907760620117	9.741105459397659e-05	9.722411050461233e-05	1.0	1.0	1.0	1.0
1777	1477.7845520973206	9.97246002953034e-05	9.951845277100801e-05	1.0	1.0	1.0	1.0
1783	1482.9214317798615	9.509457158856094e-05	9.489565854892135e-05	1.0	1.0	1.0	1.0
1790	1488.6069076061249	9.246302870451473e-05	9.230826253769919e-05	1.0	1.0	1.0	1.0
1797	1494.3001692295074	9.795712103368715e-05	9.778655658010393e-05	1.0	1.0	1.0	1.0
1804	1499.7549526691437	9.539377788314596e-05	9.525335917714983e-05	1.0	1.0	1.0	1.0
1810	1504.8963661193848	9.246298868674785e-05	9.234837489202619e-05	1.0	1.0	1.0	1.0
1817	1510.4687526226044	9.623143050703221e-05	9.635721653467044e-05	1.0	1.0	1.0	1.0
1824	1516.172693490982	8.97756704944186e-05	8.966604946181178e-05	1.0	1.0	1.0	1.0
1831	1521.7861378192902	9.29474161239341e-05	9.283665713155642e-05	1.0	1.0	1.0	1.0
1838	1527.311007976532	9.175537343253382e-05	9.164170478470623e-05	1.0	1.0	1.0	1.0
1844	1532.5699427127838	9.351470653200522e-05	9.340720134787261e-05	1.0	1.0	1.0	1.0
1851	1538.4534261226654	8.62956170749385e-05	8.616689592599869e-05	1.0	1.0	1.0	1.0
1857	1543.5267810821533	8.480869655613787e-05	8.46619950607419e-05	1.0	1.0	1.0	1.0
1863	1548.692481994629	9.24102270801086e-05	9.239609062206e-05	1.0	1.0	1.0	1.0
1869	1554.2952239513397	8.378431157325396e-05	8.366152178496122e-05	1.0	1.0	1.0	1.0
1875	1559.76646900177	8.895730861695484e-05	8.890293975127861e-05	1.0	1.0	1.0	1.0
1882	1565.480812549591	8.23120353743434e-05	8.216982678277418e-05	1.0	1.0	1.0	1.0
1889	1571.2417633533478	8.204486439353787e-05	8.191442611860111e-05	1.0	1.0	1.0	1.0
1896	1576.9268205165863	8.617234125267715e-05	8.613205864094198e-05	1.0	1.0	1.0	1.0
1903	1582.574254989624	8.532840365660377e-05	8.52317753015086e-05	1.0	1.0	1.0	1.0
1910	1588.4369876384735	8.093616415862926e-05	8.082136628217995e-05	1.0	1.0	1.0	1.0
1917	1594.1683654785156	8.064247449510731e-05	8.061177504714578e-05	1.0	1.0	1.0	1.0
1924	1599.7011103630066	8.250478713307531e-05	8.25108218123205e-05	1.0	1.0	1.0	1.0
